Quando;Dia da Semana;Tipo;Descricao/Lancamento;Credito;Debito;Mes;Ano;Mes/Ano;Origem
02-02-2023;Quinta-Feira;Farmácia;Symbicort 12/4000;0,0;125,54;'02;'2023;'02/2023;ItaU
02-02-2023;Quinta-Feira;Taxas Bancarias;IOF no periodo ;0,0;10,72;'02;'2023;'02/2023;ItaU
02-02-2023;Quinta-Feira;Restaurantes;iFood: Di Marino´s;0,0;83,0;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;cartões de Crédito;Fatura XP Visa;0,0;829,63;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;cartões de Crédito;Fatura NuBank Master;0,0;650,23;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;cartões de Crédito;Fatura CrediCard Masters;0,0;2336,43;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;cartões de Crédito;Fatura Magalu Visa;0,0;0,0;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;Gás de cozinha;Fatura ComGás;0,0;27,67;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;Transf. Bco;Pix: Para o NuBank;0,0;710,54;'02;'2023;'02/2023;ItaU
01-02-2023;Quarta-Feira;cartões de Crédito;Pagamento de Fatura ;2336,43;0,0;'02;'2023;'02/2023;CrediCard_Master
01-02-2023;Quarta-Feira;cartões de Crédito;Pagamento de Fatura;650,23;0,0;'02;'2023;'02/2023;NUBank_Master
01-02-2023;Quarta-Feira;Transf. Bco;PIX: Do Itau;710,54;0,0;'02;'2023;'02/2023;Nubank_ContaC
01-02-2023;Quarta-Feira;cartões de Crédito;Pagamento de Fatura;829,63;0,0;'02;'2023;'02/2023;XP_Inv_Visa
31-01-2023;Terça-Feira;Combustivel;No Pejô GGM5;0,0;50,0;'01;'2023;'01/2023;ItaU
31-01-2023;Terça-Feira;Salarios;Claro Brasil S/A;7601,22;0,0;'01;'2023;'01/2023;ItaU
31-01-2023;Terça-Feira;Restituições;Maçonaria: Pix: Ref. Ao emprestimo pro Rafa em 11/2022;2700,0;0,0;'01;'2023;'01/2023;ItaU
31-01-2023;Terça-Feira;Restaurantes;The Burgues Gallery ;0,0;98,4;'01;'2023;'01/2023;ItaU
30-01-2023;Segunda-Feira;Online Services;Assinatura Mensal HBO Max;0,0;13,95;'01;'2023;'01/2023;NUBank_Master
30-01-2023;Segunda-Feira;GATO;Tratamento Jade (06/10);0,0;121,1;'01;'2023;'01/2023;NUBank_Master
29-01-2023;Domingo;Supermercado;A coop da industrial;0,0;278,83;'01;'2023;'01/2023;ItaU
29-01-2023;Domingo;Farmácia;Remédios de pressão ;0,0;7,97;'01;'2023;'01/2023;ItaU
29-01-2023;Domingo;GATO;Ração/ areia e Agradinho;0,0;163,88;'01;'2023;'01/2023;ItaU
28-01-2023;Sábado;Online Services;Assinatura Mensal Netflix (2 Telas FullHD);0,0;39,9;'01;'2023;'01/2023;CrediCard_Master
28-01-2023;Sábado;Online Services;Apple iPhone 13 128GB Meia-noite + carregador 20w (09/10);0,0;559,46;'01;'2023;'01/2023;CrediCard_Master
28-01-2023;Sábado;Online Services;Assinatura Mensal do Spotfy Familiar (5 Acessos) ;0,0;34,9;'01;'2023;'01/2023;NUBank_Master
28-01-2023;Sábado;Online Services;Assinatura Mensal Disney Plus ;0,0;27,9;'01;'2023;'01/2023;NUBank_Master
28-01-2023;Sábado;Online Services;100GB de espaço no Google Drive;0,0;69,99;'01;'2023;'01/2023;XP_Inv_Visa
27-01-2023;Sexta-Feira;Moradia;Agua mineral ;0,0;14,0;'01;'2023;'01/2023;ItaU
27-01-2023;Sexta-Feira;Restaurantes;iFood: Don Forni;0,0;74,0;'01;'2023;'01/2023;ItaU
27-01-2023;Sexta-Feira;GATO;Veterinária Mascote Piraju (02/12);0,0;248,16;'01;'2023;'01/2023;NUBank_Master
26-01-2023;Quinta-Feira;P208 GRIFFE 1.6 AUT BUSINESS;Revisão 4Anos 30K Peugeot GGM5 (04/06);0,0;335,62;'01;'2023;'01/2023;CrediCard_Master
25-01-2023;Quarta-Feira;Playstation 4;Mercadolivre.com.br: Disco sólido interno Crucial CT1000BX500SSD1 1TB (03/06);0,0;89,06;'01;'2023;'01/2023;CrediCard_Master
24-01-2023;Terça-Feira;Taxi;Trabalho: Ubber: pra ir pro metro ;0,0;29,93;'01;'2023;'01/2023;ItaU
24-01-2023;Terça-Feira;Restaurantes;Trabalho: Dedô de Moçâ;0,0;48,04;'01;'2023;'01/2023;CrediCard_Master
24-01-2023;Terça-Feira;Restaurantes;Trabalho: Cafés;0,0;6,5;'01;'2023;'01/2023;CrediCard_Master
23-01-2023;Segunda-Feira;Energia Eletrica;Fatura enel - Janeiro - 2023;0,0;200,07;'01;'2023;'01/2023;ItaU
23-01-2023;Segunda-Feira;Estacionamentos;Trabalho: The Urban Park Alex dumas 1630;0,0;10,0;'01;'2023;'01/2023;ItaU
23-01-2023;Segunda-Feira;Farmácia;Lexapro 10mg 60 caps;0,0;339,2;'01;'2023;'01/2023;ItaU
23-01-2023;Segunda-Feira;Supermercado;No Mercadinho do predio ;0,0;12,39;'01;'2023;'01/2023;ItaU
23-01-2023;Segunda-Feira;Online Services;iCloud+ 50GB Mensal ;0,0;3,5;'01;'2023;'01/2023;CrediCard_Master
23-01-2023;Segunda-Feira;Restaurantes;iFood: HB Burgues;0,0;82,1;'01;'2023;'01/2023;CrediCard_Master
22-01-2023;Domingo;Supermercado;No mercadinho do predio ;0,0;23,69;'01;'2023;'01/2023;ItaU
22-01-2023;Domingo;Supermercado;No mercadinho do predio ;0,0;10,98;'01;'2023;'01/2023;ItaU
22-01-2023;Domingo;Taxas Bancarias;ENVIO MENS.AUTOMATICA;0,0;6,99;'01;'2023;'01/2023;CrediCard_Master
21-01-2023;Sábado;Estacionamentos;Estacionamento no centro ;0,0;13,0;'01;'2023;'01/2023;ItaU
21-01-2023;Sábado;Restaurantes;goCoffe no centro ;0,0;20,0;'01;'2023;'01/2023;ItaU
21-01-2023;Sábado;Supermercado;No mercadinho do predio ;0,0;6,97;'01;'2023;'01/2023;ItaU
20-01-2023;Sexta-Feira;Transf. Bco;PIX: Do Nubank;1568,68;0,0;'01;'2023;'01/2023;ItaU
20-01-2023;Sexta-Feira;Aluguel;Aluguel BS House + Taxas (23/30);0,0;1683,29;'01;'2023;'01/2023;ItaU
20-01-2023;Sexta-Feira;IPTU;IPTU Del Piano (23/30);0,0;54,57;'01;'2023;'01/2023;ItaU
20-01-2023;Sexta-Feira;Condominio;Condominio Del Piano;0,0;616,37;'01;'2023;'01/2023;ItaU
20-01-2023;Sexta-Feira;Restaurantes;iFood: Don Forni;0,0;76,0;'01;'2023;'01/2023;ItaU
20-01-2023;Sexta-Feira;Transf. Bco;PIX: Para o Itau;0,0;1568,68;'01;'2023;'01/2023;Nubank_ContaC
18-01-2023;Quarta-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,01;0,0;'01;'2023;'01/2023;ItaU
18-01-2023;Quarta-Feira;Supermercado;A coop da Industrial ;0,0;202,99;'01;'2023;'01/2023;ItaU
17-01-2023;Terça-Feira;Playstation 4;Games: Mirror´s Edge Catalyst ;0,0;6,99;'01;'2023;'01/2023;XP_Inv_Visa
17-01-2023;Terça-Feira;Taxas Bancarias;IOF;0,0;0,03;'01;'2023;'01/2023;XP_Inv_Visa
16-01-2023;Segunda-Feira;vestuário;Maçonaria: Terno novo (04/06);0,0;236,22;'01;'2023;'01/2023;CrediCard_Master
