"   ";"COD_IBGE";"VERSAO";"MENOR_CEP";"MAIOR_CEP";"TOTAL_CEPS"
"1";"4115754";"2";"86828000";"86828971";"6"
"2";"4107603";"2";"86840000";"86840970";"6"
"3";"4111506";"2";"86870000";"86870990";"8"
"4";"4108551";"2";"86938000";"86938970";"6"
"5";"4111605";"2";"87130000";"87130971";"8"
"6";"4117503";"2";"87140000";"87145990";"8"
"7";"4104303";"2";"87300005";"87318990";"3314"
"8";"4100509";"2";"87550000";"87553990";"10"
"9";"4125357";"2";"87555000";"87555970";"6"
"10";"4103370";"2";"87595000";"87595971";"6"
"11";"4116901";"2";"87600000";"87600970";"6"
"12";"4122602";"2";"87800000";"87800971";"8"
"13";"4216602";"2";"88101000";"88123970";"3878"
"14";"4202305";"2";"88160001";"88169899";"1618"
"15";"4202909";"2";"88350001";"88359899";"3664"
"16";"4203956";"2";"88745000";"88745971";"6"
"17";"4204251";"2";"88845000";"88845970";"6"
"18";"4202438";"2";"88538000";"88538970";"6"
"19";"4212056";"2";"88545000";"88545971";"6"
"20";"4201000";"2";"88590000";"88590971";"8"
"21";"4202602";"2";"88680000";"88680990";"8"
"22";"4212502";"2";"88385000";"88385970";"6"
"23";"4202107";"2";"88390000";"88390970";"6"
"24";"4208500";"2";"88400000";"88400970";"6"
"25";"4204194";"2";"88407000";"88407970";"4"
"26";"4212700";"2";"88430000";"88430971";"8"
"27";"4209805";"2";"88445000";"88445970";"6"
"28";"4215901";"2";"88485000";"88485970";"6"
"29";"4218103";"2";"88940000";"88940970";"6"
"30";"4217709";"2";"88960000";"88960971";"8"
"31";"4212254";"2";"88980000";"88980971";"8"
"32";"4205902";"2";"89110001";"89119899";"1045"
"33";"4215109";"2";"89136000";"89136970";"3"
"34";"4215802";"2";"89280001";"89293899";"1748"
"35";"4206504";"2";"89270000";"89270991";"5"
"36";"4214607";"2";"89180000";"89180970";"3"
"37";"4210308";"2";"89480000";"89480970";"3"
"38";"4204806";"2";"89520000";"89520975";"5"
"39";"4219606";"2";"89780000";"89785971";"4"
"40";"4202537";"2";"89824000";"89824971";"3"
"41";"4200101";"2";"89830000";"89830970";"3"
"42";"4212106";"2";"89887000";"89887971";"4"
"43";"4216255";"2";"89897000";"89897971";"4"
"44";"4218756";"2";"89898000";"89898970";"3"
"45";"4215356";"2";"89981000";"89981972";"2"
"46";"4207908";"2";"89440000";"89440970";"3"
"47";"4212007";"2";"89985000";"89985970";"3"
"48";"4209003";"2";"89600000";"89600973";"7"
"49";"4210035";"2";"89609000";"89609970";"3"
"50";"4200051";"2";"89636000";"89636970";"3"
"51";"4304606";"2";"92010000";"92442000";"2074"
"52";"4300604";"2";"94800971";"94859450";"1224"
"53";"4307906";"2";"95170010";"95181899";"835"
"54";"4314050";"2";"95630000";"95630974";"5"
"55";"4304408";"2";"95680000";"95680971";"4"
"56";"4304614";"2";"95933000";"95933971";"3"
"57";"4312609";"2";"95970000";"95970970";"3"
"58";"4322855";"2";"95972000";"95972971";"3"
"59";"4300802";"2";"95250000";"95250970";"3"
"60";"4303673";"2";"95255000";"95255973";"5"
"61";"4318622";"2";"95280000";"95280970";"3"
"62";"4300661";"2";"95310000";"95310970";"3"
"63";"4317608";"2";"95500000";"95500996";"9"
"64";"4321667";"2";"95580000";"95580991";"7"
"65";"4301750";"2";"96735000";"96735971";"3"
"66";"4312252";"2";"96755000";"96755970";"3"
"67";"4301305";"2";"96330000";"96330970";"3"
"68";"4316808";"2";"96810002";"96849899";"1314"
